,id,shiqu,总价,均价,面积,小区,样本数量
548,8690,3.166666667,565.5,25254.16667,224.5,康诚香槟小镇(公寓),6
549,6075.5,2.333333333,515.8333333,22623.66667,228,康诚香槟小镇(别墅),6
149,9056.065217,3,289.1021739,21644.86957,132.18,京南一品,46
1064,9129.421053,3.052631579,444.7894737,19691.57895,222.3157895,钻石嘉园,19
125,8850,3.066666667,196,19344.8,96.39333333,书香门第,15
865,9252.571429,3,196.8690476,18455.38095,108.4728571,秀兰尚城,42
119,11103.33333,3.666666667,96.33333333,18429.83333,54.33333333,九华家园,6
908,1282.125,1,203.625,18214,112.0175,紫御美墅,8
885,2495.9375,1.083333333,214.0895833,17646.33333,118.6602083,秀兰绿荫里,48
814,9133.842105,3,200.2105263,17212.94737,117.1805263,盛和嘉园,19
410,4864,2.125,196.125,17176.9375,114.418125,国宅花园,16
54,1119.153846,1,164.7307692,16999.38462,96.815,世家郦园,26
390,9609.714286,3.142857143,149,16984.71429,85.53142857,嘉兴青年新城,7
1060,8995.6875,3.020833333,241.3645833,16712.4375,144.3408333,鑫和花园,48
423,7904.180723,2.795180723,202.5168675,16497.56627,119.4450602,城市印象,83
547,8158.95,3,140.745,16424.2,85.7,康诚锋尚公寓(复兴中路),20
249,1812.238095,1,107.6095238,16418.09524,67.19714286,兴华小区,21
121,9077.5,3,133,16398.16667,84,九号公寓,6
112,8633.731884,3.007246377,150.6905797,16265.76087,91.3642029,丽景蓝湾B区,138
699,6540.862069,2.275862069,225.6551724,16188.06897,135.7068966,水榭花城,29
857,9107.277778,3.111111111,209.5444444,16155.44444,126.3433333,秀兰四季城,18
753,7391.909091,2.363636364,174.8181818,16125.54545,106.1127273,源盛嘉禾C区,11
859,5423.733333,2,155.92,16064.93333,97.54666667,秀兰城市绿洲,15
111,8505.901961,3,196.6156863,15993.44118,121.6466667,丽景蓝湾A区,102
970,8847,2.888888889,194.3333333,15922.44444,129.7733333,茗畅园,9
53,4426.181818,2,170.9090909,15816.36364,108.4545455,世家花园,11
225,8774.769231,3,215.9230769,15793.76923,135.5492308,假日花园,13
220,8999.28,3,185.8752,15767,118.2384,假日山水华庭,50
752,8733.458333,3,177.4916667,15657.16667,112.94625,源盛嘉禾B区,24
233,2007.428571,1,126.4285714,15651.42857,82.6,八一小区,7
588,8657.929078,3.007092199,180.6624113,15598.40426,114.9022695,新一代小区C区,141
66,8608.533333,3,196.6633333,15542.83333,121.8955,东方家园,60
1160,2729,1.25,118.8416667,15447.04167,76.74291667,魅力东方,24
784,7861.962963,3,159.7,15428.44444,103.2962963,珑城花园,27
226,6024.756757,2.216216216,199.3216216,15400.35135,129.3948649,假日雅典城,37
778,12283.83333,4,142.1833333,15368.33333,92.5,玉兰湾,6
4,6616.252033,2.43902439,154.7252033,15320.45528,100.4745528,K2玉兰湾,123
405,9023.16,3.04,176.356,15257.44,115.3548,国宅华园,25
1164,9316.333333,3,238.1666667,15225.33333,154.0333333,鹏翔小区,6
600,4962.4,2,111.7,15192.5,73.87,新景观公寓,10
1011,8621.567568,3,181.7513514,15144.08108,119.1456757,警盾家园,37
222,9179.5,3,222.25,15121.625,147,假日山水园,8
313,7865.846154,3,238.6153846,15118.53846,157.6507692,华冠庄园,13
406,10654.85714,3.714285714,181,15097.28571,120.24,国宅华府东院,7
751,8033.157895,2.684210526,173.3684211,15084.15789,113.5389474,源盛嘉禾A区,19
291,2392,1,94.89193548,15082.3871,64.20403226,北唐小区,62
622,8745.421053,3,171.2968421,15070.73684,113.0073684,普兰庭,19
252,9685.538462,3.230769231,126.8076923,15069.53846,83.95384615,兴远现代城,13
812,4047.5,2,96.825,15037.625,64.75,监狱宿舍北区,16
310,7717.176471,2.705882353,171.4117647,15036.52941,115.5741176,华中国宅华府,17
153,5604.923077,2,127.0153846,15023.30769,86.50769231,仁和公寓,13
932,8408.444444,2.933333333,199.9066667,15021.73333,129.0682222,绿都皇城,45
758,8426.75,3,206.5,14957.375,135.26625,溪杉樾,16
798,3866.714286,2,88,14915,59,电业局宿舍(天鹅中路),7
952,6010.461538,2,136.8692308,14881.23077,91.96076923,花倾城一区,13
1048,2022.666667,1,83.025,14868.91667,55.83333333,金线小区,12
219,9056,3,184.4875,14848.125,118,假日公馆,8
902,6026.5,2.25,103.6,14760.625,70.335,竞秀小区,8
744,1643.1875,1,126.8625,14740.4375,87.356875,淮军公所,16
271,1620.8,1,96.98666667,14737.06667,66.86266667,利诚小区,15
56,8825,3,216.5,14722.8,145.225,世纪华庭,10
563,1289.941176,1,109.5882353,14600.47059,75.96588235,总督署小区,17
427,8740.134328,3.014925373,139.3373134,14599.8806,95.76895522,复兴苑,67
539,6561.945946,2.486486486,169.2702703,14565.7027,115.8216216,府上,37
165,1323.1875,1,145.3875,14558.375,100.1875,佰盛东俪湾,16
1094,5980.111111,2,180.5555556,14550.33333,123.4844444,阳光佳苑B区,9
113,8791.375,3,166.625,14541.375,115.6425,丽景蓝湾C区,8
575,2166,1,93.16666667,14508.33333,66.28333333,振兴里小区,6
97,5625.717949,2,189.7397436,14467.17949,130.4007692,中央峰景,39
796,11099.51163,4,132.0348837,14435.81395,91.19302326,电业小区,43
84,2061.111111,1,125.0888889,14382.22222,87.33,东郦湾,9
795,7338.133333,2.666666667,115.6666667,14206.06667,81.6,田野小区,15
779,6741.870968,2.290322581,150.2419355,14178.98387,106.2806452,玉兰花园,62
6,9006.833333,3,171.4222222,14123.83333,121.3144444,Park湾,18
589,6643.08,2.4,164.5,14110.28,116.7864,新世纪花园A区,25
449,6927.913043,2.434782609,152.8695652,14068,108,天威绿谷,23
65,9730.625,3,153.175,14063.125,109.515,东方云顶,8
