,id,title,shiqu,area,price,avg,shitingwei,xiaoqu,cenggao,weizhi,jingjiren,总价,均价,面积
0,0,朝阳路高端社区准现房大产权首付分期可2成精,1,112.0,142,12678,3室2厅1卫,蓝湖郡,中层(共30层),南市朝阳南大街,独立经纪人－杨海军杨海军1年独立经纪人58同城认证商家,142.0,12678.0,112.0
1,1,碧水新居80平米精装修两居带地下室42万包改名价免,1,86.0,42,4883,2室2厅1卫,碧水新居,中层(共7层),南市建国西路,独立经纪人－甄光甄光2年独立经纪人58同城认证商家,42.0,4883.0,86.0
2,2,海南省中铁集团独栋别墅面积700平自带前后免,1,200.0,300,15000,4室3厅3卫,中铁家园,共3层,南市莲池南大街,四通房产－王龙龙王龙龙1年四通房产58同城认证商家,300.0,15000.0,200.0
3,3,蓝湖郡好房源首付二十五万紧邻朝阳大可贷款免,1,89.0,84,9438,2室2厅1卫,蓝湖郡,中层(共30层),南市朝阳南大街,独立经纪人－杨洁杨洁1年独立经纪人58同城认证商家,84.0,9438.0,89.0
4,4,大产权首付18万蓝湖郡自己的房急急急长免,1,88.81,85,9570,2室2厅1卫,蓝湖郡,低层(共30层),南市朝阳南大街,独立经纪人－于飞飞于飞飞1年独立经纪人58同城认证商家,85.0,9570.0,88.81
5,5,农大附近轻工局宿舍涂料房单价8600看房方便天马顶,1,99,86,8686,2室2厅1卫,轻工宿舍,高层(共6层),南市复兴中路2733号,独立经纪人－高孟江高孟江1年独立经纪人58同城认证商家,86.0,8686.0,99.0
6,6,维多利亚上院旁大产权首付35万就可拥有顶,1,85.95,80,9307,2室2厅1卫,维多利亚上院,中层(共21层),南市南二环路,独立经纪人－刘玉佩刘玉佩1年独立经纪人58同城认证商家,80.0,9307.0,85.95
7,7,河北农大裕丰一期2室2厅1卫92㎡顶,1,92,134.8,14652,2室2厅1卫,裕丰家园一期,中层(共6层),南市利民街,独立经纪人－张迎新张迎新2年独立经纪人58同城认证商家,134.8,14652.0,92.0
8,8,急售！八中保师附小单价11首付18万顶,1,60.0,68,11333,2室1厅1卫,淮军公所,共5层,南市兴华路346号,独立经纪人－闫美卿闫美卿1年独立经纪人58同城认证商家,68.0,11333.0,60.0
9,9,急售！4楼1室房主急用钱急售顶,1,41.0,45,10975,1室1厅1卫,朱家园,中层(共6层),南市西关大街,独立经纪人－闫美卿闫美卿1年独立经纪人58同城认证商家,45.0,10975.0,41.0
10,10,东风公园大润发美丽一楼两居房主诚心急售精装修顶,1,54.0,64,11851,2室1厅1卫,长城南大街210号院,低层(共6层),南市长城南大街,独立经纪人－李志容李志容1年独立经纪人58同城认证商家,64.0,11851.0,54.0
11,11,急售罐头厂宿舍两室两厅南北通透标准户型临东部风景顶,1,118.0,139,11779,2室2厅1卫,客运中心罐头厂宿舍,高层(共6层),南市裕华东路,独立经纪人－董朋超董朋超1年独立经纪人58同城认证商家,139.0,11779.0,118.0
12,12,天马小区小户型2楼首付30万瓷砖房双气急售顶,1,51.4,62,12062,2室1厅1卫,天马小区,低层(共6层),南市利民街379号,独立经纪人－胡金玲胡金玲1年独立经纪人58同城认证商家,62.0,12062.0,51.4
13,13,东风公园附近永华园裕华园中华小区瓷砖房首付25万顶,1,65,87,13384,2室2厅1卫,中华小区五区,中层(共6层),北市石柱街,经纪人－赵女士赵女士-1年58同城认证商家,87.0,13384.0,65.0
14,14,精装修送家具家电看图片看房子随时恭候可贷款,1,59.0,70,11864,2室1厅1卫,莲池社区,高层(共6层),南市兴华路179号,经纪人－吕新吕新1年58同城认证商家,70.0,11864.0,59.0
15,15,出售广场附近南北通透大两居，有房本可贷款，即买即,1,106.0,49,4622,2室2厅1卫,金桥小区,共5层,南市唐尧东路,独立经纪人－赵丹赵丹1年独立经纪人58同城认证商家,49.0,4622.0,106.0
16,16,急售2楼2楼首付15万省医院附近暖气好,1,60.0,68,11333,2室1厅1卫,金叶小区,低层(共6层),南市裕华东路,华中置业－朱丽红朱丽红2年华中置业58同城认证商家,68.0,11333.0,60.0
17,17,福地水岸东边的3室可贷款,1,123.0,137,11138,3室2厅1卫,泰和福地水岸,高层(共17层),南市三丰东路,独立经纪人－郭红郭红1年独立经纪人58同城认证商家,137.0,11138.0,123.0
18,18,军校广场省医院宿舍涂料房单价1万1停车方便金专宿,1,70.0,76,10857,2室2厅1卫,省医院宿舍(普庆路),高层(共6层),南市普庆路131号,经纪人－潘艳东潘艳东1年58同城认证商家,76.0,10857.0,70.0
20,20,八中，联盟西路小学片内，1楼3室，老本可贷款，精,1,91.0,125,13736,3室2厅1卫,运输一公司宿舍,低层(共6层),南市建华大街,独立经纪人－戎海军戎海军1年独立经纪人58同城认证商家,125.0,13736.0,91.0
21,21,来的时候打电话怕不在家五里华都园洋房优品三室,1,92.0,76,8260,3室2厅1卫,五里华都,中层(共7层),南市长城南大街,独立经纪人－张玲张玲1年独立经纪人58同城认证商家,76.0,8260.0,92.0
22,22,捡漏的来房主因欠款低价出售包改名可贷款,1,84.0,78,9285,2室2厅1卫,南湖春晓,中层(共33层),南市利民路,独立经纪人－翟钰翟钰2年独立经纪人58同城认证商家,78.0,9285.0,84.0
23,23,一楼门脸临街可居住可商铺,1,50.0,40,8000,1室1厅1卫,青青花园,低层(共6层),南市长城南大街,独立经纪人－梁丽梁丽1年独立经纪人58同城认证商家,40.0,8000.0,50.0
24,24,跃层3/4跃，精装修，未住过人，双气，小区新环境,1,200.0,315,15750,4室2厅2卫,世家明缘,共4层,南市天威东路958号,独立经纪人－董贺仕董贺仕1年独立经纪人58同城认证商家,315.0,15750.0,200.0
25,25,出售急售首付18万紧挨裕华路精装二室一厅,1,58.0,60,10344,2室1厅1卫,气象局宿舍,共5层,南市裕华东路406号,独立经纪人－赵伟赵伟1年独立经纪人58同城认证商家,60.0,10344.0,58.0
26,26,首付12万精装婚房2室东风公园附近中华小区东升街,1,54.0,59,10925,2室1厅1卫,金叶小区,共4层,南市裕华东路,独立经纪人－李志永李志永1年独立经纪人58同城认证商家,59.0,10925.0,54.0
28,28,十七中片内可贷款瓷砖房好户型,1,78.8,90,11421,2室1厅1卫,总督署小区,高层(共6层),南市兴华路,独立经纪人－张瑜张瑜2年独立经纪人58同城认证商家,90.0,11421.0,78.8
29,29,保定一中附近福地水岸南边赫达梅林紧邻府河公,1,97.0,62,6391,2室2厅1卫,泰和福地水岸,中层(共17层),南市三丰东路,独立经纪人－郭艳郭艳1年独立经纪人58同城认证商家,62.0,6391.0,97.0
30,30,首付6万东部温泉度假小镇高铁旁电梯洋房仙庭湖畔,1,91.02,43,4724,2室2厅1卫,仙庭湖畔,低层(共6层),南市,经纪人－冀海英冀海英1年58同城认证商家,43.0,4724.0,91.02
31,31,急售首付16万八中南北通透带20平院送车位建华,1,68.0,69.8,10264,2室2厅2卫,新建华小区,共5层,南市天威中路,独立经纪人－樊寒立樊寒立1年独立经纪人58同城认证商家,69.8,10264.0,68.0
32,32,联盟路小学八中铁片涂料房建园小区新建华小区燃料公,1,77.0,94,12207,2室2厅1卫,建园小区,高层(共6层),南市农大西巷,独立经纪人－赵辉赵辉1年独立经纪人58同城认证商家,94.0,12207.0,77.0
33,33,中华小区，北国商场附近，两室一厅，60平米，,1,60.0,88,14666,2室1厅1卫,裕华园小区,中层(共6层),南市莲池南大街,独立经纪人－苏东海苏东海1年独立经纪人58同城认证商家,88.0,14666.0,60.0
34,34,裕华路力高大慈阁裕华园附近清真寺小区两居室新,1,66.0,60,9090,2室1厅1卫,清真寺小区,高层(共6层),南市,独立经纪人－李会李会1年独立经纪人58同城认证商家,60.0,9090.0,66.0
